Infinitive,Present,Past Tense,Present Perfect,English
arbeide,arbeider,arbeidet,har arbeidet,work
begynne,begynner,begynte,har begynt,begin
bestemme,bestemmer,bestemte,har bestemt,decide
besøke,besøker,besøkte,har besøkt,visit
betale,betaler,betalte,har betalt,pay
bli,blir,ble / blei,har blitt,"remain, become"
bo,bor,bodde,har bodd,dwell
bringe,bringer,brakte,har brakt,bring
bruke,bruker,brukte,har brukt,use
burde,* bør,burde,burdet,should
bære,bærer,bar,har båret,"bear, carry"
dele,deler,delte,har delt,"divide, share"
dra / drage,drar / drager,drog,har dradd / har dratt,"drag, travel"
drepe,dreper,drepte,har drept,kill
drikke,drikker,drakk,har drukket,drink
drive,driver,drev / dreiv,har drevet,"operate, run"
dø,dør,dødde / døde,har dødd,die
eie,eier,eide / åtte,har eid / har ått,own
falle,faller,falt,har falt,fall
finnes,* finnes,fantes,har fantes,"be found, exist"
finne,finner,fant,har funnet,find
foretrekke,foretrekker,foretrakk,har foretrukket,prefer
forklare,forklarer,forklarte,har forklart,explain
forstå,forstår,forstod,har forstått,understand
fortelle,forteller,fortalte,har fortalt,"tell, explain"
få,får,fikk,har fått,"get, receive"
gi,gir,gav,har gitt,give
gjelde,gjelder,gjaldt / galdt,har gjeldt,"be in force, apply"
gjøre,* gjør,gjorde,har gjort,do
glemme,glemmer,glemte,har glemt,forget
gå,går,gikk,har gått,"go, walk"
ha,har,hadde,har hatt,have
handle,handler,handlet,har handlet,"act, shop, deal with"
hende,hender,hendte,har hendt,happen
hente,henter,hentet,har hendt,"fetch, bring"
hete,heter,het / hette,har hett,be named
hjelpe,hjelper,hjalp,har hjulpet,help
holde,holder,holdt,har holdt,"keep, hold"
huske,husker,husket,har husket,remember
høre,hører,hørte,har hørt,hear
interessere,interesserer,interesserte,har interessert,interest
jobbe,jobber,jobbet,har jobbet,work
kjenne,kjenner,kjente,har kjent,"know (person, place)"
kjøpe,kjøper,kjøpte,har kjøpt,purchase
kjøre,kjører,kjørte,har kjørt,drive
komme,kommer,kom,har kommet,come
koste,koster,kostet / kosta,har kostet,"cost, sweep"
kunne,kan,kunne,har kunnet,be able to
la,lar,lot,har latt,"allow, let"
lage,lager,laget / laga / lagde,har laget / har laga / har lagd,"make, create"
legge,legge,la,har lagt,"lay, place"
lese,leser,leste,har lest,"read, study"
leve,lever,levde,har levd,"live, be alive"
ligge,ligger,lå,har ligget,lie
ligne / likne,ligner / likner,lignet / liknet,har lignet / har liknet /,"resemble, look like"
like,liker,likte,har likt,like
lære,lærer,lærte,har lært,"learn, teach"
løpe,løper,løp,har løpt / har løpet,run
melde,melder,meldte,har meldt,"announce, report"
mene,mener,mente,har ment,"think, be of the opinion"
møte,møter,møtte,har møtt,meet
måtte,* må,måtte,har måttet,"have to, be obliged to"
prøve,prøver,prøvde,har prøvd,"try, attempt"
reise,reiser,reiste,har reist,"travel, raise"
se,ser,så,har sett,see
selge,selger,solgte,har solgt,sell
sende,sender,sendte,har sendt,send
sette,setter,satte,har satt,"set, place"
si,*sier,sa,har sagt,"say, tell"
sitte,sitter,satt,har sittet,sit
skje,skjer,skjedde,har skjedd,happen
skrive,skriver,skrev,har skrevet,write
skulle,* skal,skulle,har skullet,"should, shall"
slå,slår,slo,har slått,"hit, strike"
slåss,* slåss,sloss,har slåss,fight
sove,sover,sov,har sovet,sleep
spørre,* spør,spurte,har spurt,ask
stå,står,stod,har stått,"stand, stand up"
synes,* synes / syns,syntes,har synes / har syns,"seem, think, be visible"
søke,søker,søkte,har søkt,seek
ta,tar,tok,har tatt,take
tenke,tenker,tenkte,har tenkt,"think, intend"
treffe,treffer,traff,har truffet,"meet, hit"
trives,trives,trivdes,har trives / har trivs,"enjoy, thrive"
tro,tror,trodde,har trodd,believe
vente,venter,ventet,har ventet,"wait, expect"
ville,* vil,ville,har villet,"want to, will"
vise,viser,viste,har vist,show
vite,* vet,visste,har visst,know (fact)
være,* er,var,har vært,"be, exist"
ønske,ønsker,ønsket,har ønsket,"wish, desire"
åpne,åpner,åpnet,har åpnet,open